listing_id,price,nbhood_full,State
3728309,45,Brooklyn, Bedford-Stuyvesant
3728837,129,Brooklyn, Greenpoint
3735483,55,Brooklyn, Bedford-Stuyvesant
3739712,125,Manhattan, Hell's Kitchen
3740402,82,Manhattan, Upper East Side
3741530,90,Brooklyn, Bedford-Stuyvesant
3741728,117,Brooklyn, Bedford-Stuyvesant
3741945,71,Manhattan, Upper East Side
3742373,390,Manhattan, Chelsea
3743048,58,Staten Island, St. George
3747567,80,Manhattan, East Harlem
3749971,115,Brooklyn, Williamsburg
3752035,180,Brooklyn, Bedford-Stuyvesant
3757461,69,Manhattan, Gramercy
3758296,85,Manhattan, Morningside Heights
3758686,117,Brooklyn, Crown Heights
3759009,219,Manhattan, West Village
3760029,100,Queens, Astoria
3760158,320,Brooklyn, Prospect Heights
3760824,110,Brooklyn, Bushwick
3764540,134,Brooklyn, Williamsburg
3766496,110,Manhattan, Hell's Kitchen
3766770,150,Manhattan, East Harlem
3767156,149,Brooklyn, Bushwick
3767267,85,Manhattan, Morningside Heights
3768977,170,Queens, Astoria
3769052,40,Bronx, Mount Hope
3771656,95,Manhattan, Upper East Side
3771845,95,Manhattan, Lower East Side
3775259,165,Brooklyn, Bedford-Stuyvesant
3775379,120,Brooklyn, Prospect Heights
3779230,40,Brooklyn, Bedford-Stuyvesant
3779262,130,Brooklyn, Bedford-Stuyvesant
3780113,120,Manhattan, Harlem
3780715,120,Brooklyn, Bedford-Stuyvesant
3780951,115,Manhattan, Harlem
3782441,170,Manhattan, Greenwich Village
3782925,124,Brooklyn, Williamsburg
3783021,99,Manhattan, Upper West Side
3785438,158,Brooklyn, Fort Greene
3790118,55,Bronx, Mott Haven
3790746,72,Manhattan, Harlem
3791325,150,Brooklyn, Clinton Hill
3791554,39,Manhattan, Inwood
3792246,49,Queens, Ridgewood
3793161,39,Queens, Woodside
3793246,200,Manhattan, East Village
3793874,200,Manhattan, West Village
3798941,105,Brooklyn, Williamsburg
3799598,260,Manhattan, East Village
3800547,90,Brooklyn, Canarsie
3802218,53,Bronx, Mott Haven
3802538,99,Manhattan, Hell's Kitchen
3808119,135,Brooklyn, Bedford-Stuyvesant
3808230,85,Brooklyn, Prospect Heights
3808323,68,Manhattan, Harlem
3808620,87,Manhattan, Hell's Kitchen
3811639,150,Brooklyn, Bushwick
3812222,125,Queens, Forest Hills
3812554,145,Queens, Forest Hills
3817216,87,Manhattan, Murray Hill
